Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Syrian wild ass,Onager,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Terrestrial,starts with","{'Geography': {}, 'Biome': ['Grassland', 'Savanna', 'Shrubland'], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Balkan lynx,Eurasian Lynx,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Grassland', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Critically endangered (CR)'}"
Bubal hartebeest,Hartebeest,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Alcelaphinae,,,,,,,"Terrestrial,starts with","{'Geography': {}, 'Biome': ['Forest', 'Grassland'], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
East Siberian brown bear,Brown Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Panthera pardus spelaea,Leopard,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Northeast African cheetah,Cheetah,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Manchurian wapiti,Elk,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Persian Onager,Onager,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,Equus,Equus hemionus onager,790,40 yrs,70 km/h,200-260 kg,"Diurnal,Crepuscular,Herbivore,Folivore,Graminivore,Terrestrial,Cursorial,Precocial,Grazing,Browsing,Nomadic,Congregatory,Polygyny,Social,Herding,Dominance hierarchy,Migrating,starts with","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'Western Asia', 'Countries': 'Iran', 'Biogeographical realms': 'Palearctic', 'Wwf biomes': 'Desert and Xeric Shrublands, Montane grasslands and shrublands, Temperate grasslands'}, 'Biome': ['Grassland', 'Savanna', 'Shrubland'], 'Climate': ['Arid', 'Temperate']}","{'Group name': 'herd, coffle, drove, pace', 'Lifestyle': 'Terrestrial, Cursorial, Precocial, Grazing, Browsing, Nomadic, Congregatory,', 'Seasonal behavior': 'Migrating'}","Herbivore,,Folivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'mid-June', 'Pregnancy duration': '365-368 days', 'Baby carrying': '1 foal', 'Independent age': '2 years', 'Female name': 'jenny, jennet', 'Male name': 'jack, jackass', 'Baby name': 'foal, colt'}","{'Population trend': 'Stable', 'Population status': 'Endangered (EN)'}"
Cape wild dog,African Wild Dog,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caninae,Canini,,,,,,,"Highly social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Countries': 'Mozambique, South Africa'}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': 'Not a migrant'}",,{},{'Population status': 'Endangered (EN)'}
Japanese boar,Wild Boar,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Suidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Bernard's wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': 'Tundra'}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Eastern black rhinoceros,Black Rhinoceros,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Increasing', 'Population status': 'Critically endangered (CR)'}"
Western chimpanzee,Common Chimpanzee,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Hominidae,,,,,,,"Terrestrial,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': ""Cote d'Ivoire, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Senegal, Sierra Leone"", 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Savanna'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Caucasian wisent,Wisent,,Animalia,Chordata,Vertebrata,,Mammalia,Bovinae,Bovini,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Extinct (EX)'}
Northern Rocky Mountain wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Ussuri Dhole,Dhole,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Cuon,Cuon alpinus alpinus,Unknown,16 yrs,72.4 km/h,10-21 kg,"Nocturnal,Omnivore,Viviparous,Terrestrial,Cursorial,Pursuit predator,Pack hunters,Territorial,Burrowing,Altricial,Mesopredator,Highly social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Countries': 'Bangladesh, China, India, Myanmar, Nepal, Thailand', 'Wwf biomes': 'Tundra, Temperate broadleaf and mixed forest, Tropical dry forest, Tropical moist forests, Temperate grasslands, Montane grasslands and shrublands'}, 'Biome': ['Forest', 'Grassland', 'Savanna', 'Steppe', 'Montane forest', 'Mountains'], 'Climate': ['Temperate', 'Tropical']}","{'Lifestyle': 'Viviparous, Terrestrial, Cursorial, Pursuit predator, Pack hunters, Territorial, Burrowing, Altricial, Mesopredator', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Reproduction season': 'varies with location', 'Pregnancy duration': '60-63 days', 'Baby carrying': '4-6 pups', 'Baby name': 'pup'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Florida black wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Giant sable antelope,Sable Antelope,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Hippotraginae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Angola', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Himalayan serow,Mainland serow,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Panthera onca augusta,Jaguar,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Louisiana black bear,American Black Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Least concern (LC)'}
European jackal,Golden Jackal,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': 'Albania, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Denmark, Estonia, Ethiopia, Finland, France,'}, 'Biome': ['Forest', 'Shrubland', 'Wetlands ', 'Marsh'], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{}
Western moose,Moose,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Capreolinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Kordofan giraffe,Giraffe,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Giraffidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Cameroon, Central African Republic, Chad, DR Congo, South Sudan', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Nubian wild ass,African Wild Ass,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Critically endangered (CR)'}
Vancouver Island Wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis lupus crassodon,,Unknown,,6-10 yrs,"Nocturnal,Carnivore,Terrestrial,Cursorial,Apex predator,Altricial,Pack hunters,Social,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada', 'Regions': 'British Columbia', 'Wwf biomes': 'Temperate broadleaf and mixed forest, Temperate coniferous forest, Temperate grasslands'}, 'Biome': [], 'Climate': ['Temperate']}","{'Group name': 'pack, route, rout', 'Lifestyle': 'Terrestrial, Cursorial, Apex predator, Altricial, Pack hunters', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Reproduction season': 'January-April', 'Pregnancy duration': '60-63 days', 'Baby carrying': '5-6 pups', 'Female name': 'bitch', 'Male name': 'dog', 'Baby name': 'pup, whelp'}",{}
Southern African wildcat,African wildcat,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Carnivore,Viviparous,Territorial,Solitary,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': 'Viviparous, Territorial'}",Carnivore,{},{}
Eastern chimpanzee,Common Chimpanzee,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Hominidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Savanna'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Alexander Archipelago wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Central chimpanzee,Common Chimpanzee,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Hominidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Equatorial Guinea, Angola, Cameroon, Central African Republic, Congo, DR Congo, Gabon', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
South-central black rhinoceros,Black Rhinoceros,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Critically endangered (CR)'}"
Turkmenian kulan,Onager,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Terrestrial,Congregatory,Nomadic,Social,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Grassland', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory, Nomadic,'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Endangered (EN)'}"
Zanzibar servaline genet,Servaline genet,,Animalia,Chordata,Vertebrata,,Mammalia,Viverridae,Viverrinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Merriam's elk,Elk,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Philippine long-tailed macaque,Long-Tailed Macaque,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Cercopithecidae,,,,Macaca,,Macaca fascicularis philippensis,"Diurnal,Omnivore,Arboreal,Terrestrial,Territorial,Polygynandry,Polygamy,Polygyny,Dominance hierarchy,Social,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Brackish water', 'Coastal', 'Forest', 'Rainforest', 'Riparian', 'Shrubland', 'Swamp', 'Wetlands '], 'Climate': ['Tropical']}",{},,"{'Mating behavior': 'Polygynandry,', 'Pregnancy duration': '162 days', 'Baby carrying': '1'}","{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Central European boar,Wild Boar,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Suidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Sichuan takin,Takin,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Vulnerable (VU)'}
California mule deer,Mule Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Capreolinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Visayan leopard cat,Sunda Leopard Cat,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Terrestrial,starts with","{'Geography': {}, 'Biome': [], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Golden takin,Takin,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{'Population status': 'Vulnerable (VU)'}
Guadeloupe raccoon,Raccoon,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Endangered (EN)'}
Bali cattle,Banteng,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Bovinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Kaibab squirrel,Abert's Squirrel,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Sciuridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Newfoundland pine marten,American Marten,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Sri Lankan lion,Lion,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Carnivore,Viviparous,starts with","{'Geography': {}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Peary caribou,Reindeer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Capreolinae,Rangiferini,,,,,,,"Terrestrial,Migrating,starts with","{'Geography': {'Continents': 'Europe, North America, Asia', 'Countries': 'Mongolia, Finland, Norway, Canada, United States, Russia', 'Introduced countries': 'Iceland, Falkland Islands', 'Regions': 'Greenland', 'Biogeographical realms': 'Palearctic, Nearctic'}, 'Biome': ['Forest', 'Grassland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Migrating'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Greenland wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Regions': ','}, 'Biome': [], 'Climate': []}",{},,{},{}
Sri Lankan sloth bear,Sloth Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Ursidae,Ursinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Ugandan kob,Kob,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Bovidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Grassland', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Stone sheep,Thinhorn Sheep,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Labrador wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
South-western black rhinoceros,Black Rhinoceros,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Near Threatened (NT)'}
Cave wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Altai wapiti,Elk,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Cape mountain zebra,Mountain Zebra,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Terrestrial,Congregatory,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'South Africa', 'Introduced countries': 'South Africa', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Grassland'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Northern Sumatran rhinoceros,Sumatran Rhinoceros,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Critically endangered (CR)'}
Chapman's zebra,Plains Zebra,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Atlas wild ass,African Wild Ass,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Caucasian moose,Moose,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Capreolinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Bolivian river dolphin,Amazon River Dolphin,,Animalia,Chordata,Vertebrata,,Artiodactyla,Cetacea,Iniidae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Ladoga seal,Ringed Seal,,Animalia,Chordata,Vertebrata,Mammalia,Caniformia,Pinnipedia,Phocidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Increasing', 'Population status': 'Vulnerable (VU)'}"
Bactrian Deer,Red Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,Cervus,Cervus elaphus bactrianus,,"1,430",,18-20 yrs,"Nocturnal,Herbivore,Terrestrial,Cursorial,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'Central Asia', 'Countries': 'Afghanistan, Russia,  Uzbekistan, Kazakhstan, Tajikistan', 'Biogeographical realms': 'Indomalayan, Palearctic', 'Wwf biomes': 'Desert and Xeric Shrublands, Montane grasslands and shrublands, Temperate broadleaf and mixed forest, Temperate grasslands'}, 'Biome': ['Forest', 'Grassland', 'Shrubland', 'Wetlands '], 'Climate': ['Temperate']}","{'Group name': 'herd, mob, gang', 'Lifestyle': 'Terrestrial, Cursorial,', 'Seasonal behavior': 'Not a migrant'}",Herbivore,"{'Female name': 'doe, hind', 'Male name': 'buck, stag', 'Baby name': 'fawn'}","{'Population trend': 'Increasing', 'Population status': 'Not evaluated (NE)'}"
Lichtenstein's hartebeest,Hartebeest,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Alcelaphinae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Angola, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': ''}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Caspian red deer,Red Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Regions': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Manitoban elk,Elk,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Alaskan tundra wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': 'Tundra'}, 'Biome': [], 'Climate': []}",{},,{},{}
Sumatran serow,Mainland serow,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,"Diurnal,Folivore,Herbivore,Cursorial,Terrestrial,Territorial,Solitary,Not a migrant,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Forest', 'Mountains'], 'Climate': ['Tropical']}",{},,"{'Pregnancy duration': '7 months', 'Baby carrying': '1'}",{'Population status': 'Vulnerable (VU)'}
Northern lynx,Eurasian Lynx,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Sierra Nevada bighorn sheep,Bighorn Sheep,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{'Population status': 'Endangered (EN)'}
Angolan giraffe,Giraffe,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Giraffidae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Angola, Botswana, Namibia', 'Introduced countries': 'South Africa, Namibia', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Texas wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Bornean clouded leopard,Sunda Clouded Leopard,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Sherman's fox squirrel,Eastern Fox Squirrel,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Sciuridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Barbados raccoon,Raccoon,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Palawan binturong,Binturong,,Animalia,Chordata,Vertebrata,,Mammalia,Viverridae,Paradoxurinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Vulnerable (VU)'}
Panthera tigris trinilensis,Tiger,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Ussuri black bear,Asiatic Black Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Hartmann's mountain zebra,Mountain Zebra,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'South Africa, Angola, Namibia', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Grassland', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial, Congregatory,', 'Seasonal behavior': 'Migrating'}",,{},"{'Population trend': 'Increasing', 'Population status': 'Vulnerable (VU)'}"
Banded pig,Wild Boar,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Suidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Finnish forest reindeer,Reindeer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Capreolinae,Rangiferini,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{}
Sierra Nevada red fox,Red Fox,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
